,11_05_2021
Westerheim,0
Schelklingen,6
Laichingen,7
Heroldstatt,1
Allmendingen,1
Blaubeuren,5
Merklingen,2
Berghülen,2
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,2
Erbach,5
Blaustein,7
Dornstadt,6
Amstetten,7
Lonsee,4
Westerstetten,1
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),6
Holzkirch,1
Breitingen,1
Illerkirchberg,0
Bernstadt,0
Langenau,2
Neenstetten,2
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,1
Balzheim,1
Grundsheim,0
Oberstadion,2
Emerkingen,1
Obermarchtal,1
Unterwachingen,1
Unterstadion,0
Dietenheim,5
Hausen am Bussen,3
Ehingen (Donau),18
Munderkingen,0
Rottenacker,1
Untermarchtal,2
Lauterach,0
Illerrieden,4
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,59
