,09_07_2021
Westerheim,0
Schelklingen,0
Laichingen,1
Heroldstatt,0
Allmendingen,0
Blaubeuren,8
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,0
Oberdischingen,1
Erbach,2
Blaustein,3
Dornstadt,4
Amstetten,1
Lonsee,0
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,0
Langenau,2
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,1
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,3
Hausen am Bussen,0
Ehingen (Donau),6
Munderkingen,0
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,38
