,09_24_2021
Westerheim,0
Schelklingen,1
Laichingen,0
Heroldstatt,0
Allmendingen,0
Blaubeuren,0
Merklingen,0
Berghülen,1
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,7
Blaustein,5
Dornstadt,4
Amstetten,0
Lonsee,1
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,2
Bernstadt,1
Langenau,9
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,1
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,3
Hausen am Bussen,0
Ehingen (Donau),1
Munderkingen,0
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,2
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,13
