,09_02_2021
Westerheim,0
Schelklingen,0
Laichingen,6
Heroldstatt,0
Allmendingen,0
Blaubeuren,1
Merklingen,1
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,5
Blaustein,1
Dornstadt,3
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,3
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,2
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen (Donau),8
Munderkingen,0
Rottenacker,1
Untermarchtal,0
Lauterach,0
Illerrieden,3
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,27
