,08_26_2021
Westerheim,0
Schelklingen,1
Laichingen,0
Heroldstatt,0
Allmendingen,0
Blaubeuren,1
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,8
Blaustein,2
Dornstadt,1
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,0
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen (Donau),1
Munderkingen,3
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,16
