,12_23_2021
Westerheim,0
Schelklingen,1
Laichingen,4
Heroldstatt,0
Allmendingen,0
Blaubeuren,7
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,0
Oberdischingen,0
Erbach,2
Blaustein,6
Dornstadt,1
Amstetten,5
Lonsee,4
Westerstetten,0
Beimerstetten,2
Weidenstetten,0
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,4
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,2
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,1
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen,4
Munderkingen,4
Rottenacker,2
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,2
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,46
