,12_17_2021
Westerheim,2
Schelklingen,2
Laichingen,10
Heroldstatt,0
Allmendingen,1
Blaubeuren,6
Merklingen,0
Berghülen,0
Nellingen,2
Altheim,1
Öpfingen,0
Oberdischingen,1
Erbach,3
Blaustein,2
Dornstadt,4
Amstetten,1
Lonsee,3
Westerstetten,0
Beimerstetten,1
Weidenstetten,1
Staig,1
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,3
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,2
Hausen am Bussen,0
Ehingen,12
Munderkingen,3
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,8
Schnürpflingen,0
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,50
