,01_31_2022
Westerheim,1
Schelklingen,10
Laichingen,29
Heroldstatt,6
Allmendingen,10
Blaubeuren,52
Merklingen,3
Berghülen,2
Nellingen,6
Altheim,0
Öpfingen,1
Oberdischingen,7
Erbach,50
Blaustein,71
Dornstadt,18
Amstetten,4
Lonsee,6
Westerstetten,4
Beimerstetten,7
Weidenstetten,3
Staig,13
Altheim (Alb),4
Holzkirch,3
Breitingen,0
Illerkirchberg,15
Bernstadt,2
Langenau,52
Neenstetten,0
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,2
Öllingen,0
Rammingen,2
Asselfingen,1
Balzheim,5
Grundsheim,2
Oberstadion,2
Emerkingen,5
Obermarchtal,0
Unterwachingen,0
Unterstadion,1
Dietenheim,12
Hausen am Bussen,0
Ehingen,79
Munderkingen,14
Rottenacker,0
Untermarchtal,1
Lauterach,0
Illerrieden,13
Schnürpflingen,1
Griesingen,0
Hüttisheim,6
Emeringen,0
Rechtenstein,0
Ulm,406
