,11_21_2021
Westerheim,2
Schelklingen,0
Laichingen,2
Heroldstatt,0
Allmendingen,0
Blaubeuren,1
Merklingen,0
Berghülen,1
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,7
Blaustein,5
Dornstadt,3
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,1
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,1
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,4
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),4
Munderkingen,1
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,2
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,35
