,12_31_2021
Westerheim,0
Schelklingen,0
Laichingen,5
Heroldstatt,1
Allmendingen,7
Blaubeuren,3
Merklingen,1
Berghülen,0
Nellingen,0
Altheim,4
Öpfingen,2
Oberdischingen,5
Erbach,3
Blaustein,12
Dornstadt,6
Amstetten,2
Lonsee,1
Westerstetten,0
Beimerstetten,0
Weidenstetten,1
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,2
Bernstadt,0
Langenau,1
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,1
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen,13
Munderkingen,1
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,2
Schnürpflingen,2
Griesingen,2
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,41
