,10_27_2021
Westerheim,2
Schelklingen,1
Laichingen,7
Heroldstatt,0
Allmendingen,0
Blaubeuren,3
Merklingen,1
Berghülen,0
Nellingen,1
Altheim,1
Öpfingen,1
Oberdischingen,1
Erbach,9
Blaustein,15
Dornstadt,4
Amstetten,0
Lonsee,2
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,2
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,5
Bernstadt,1
Langenau,11
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,6
Emerkingen,1
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,2
Hausen am Bussen,0
Ehingen (Donau),9
Munderkingen,3
Rottenacker,5
Untermarchtal,1
Lauterach,1
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,2
Emeringen,0
Rechtenstein,0
Ulm,58
