,11_28_2021
Westerheim,0
Schelklingen,1
Laichingen,0
Heroldstatt,1
Allmendingen,0
Blaubeuren,2
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,3
Blaustein,3
Dornstadt,0
Amstetten,1
Lonsee,1
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,2
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,3
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,1
Rammingen,0
Asselfingen,0
Balzheim,2
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,1
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),15
Munderkingen,1
Rottenacker,1
Untermarchtal,0
Lauterach,1
Illerrieden,0
Schnürpflingen,0
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,12
