,11_13_2021
Westerheim,1
Schelklingen,10
Laichingen,15
Heroldstatt,1
Allmendingen,2
Blaubeuren,12
Merklingen,1
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,4
Oberdischingen,2
Erbach,8
Blaustein,13
Dornstadt,6
Amstetten,4
Lonsee,2
Westerstetten,3
Beimerstetten,1
Weidenstetten,2
Staig,2
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,5
Bernstadt,0
Langenau,9
Neenstetten,0
Börslingen,0
Ballendorf,2
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,1
Balzheim,4
Grundsheim,1
Oberstadion,0
Emerkingen,0
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,13
Hausen am Bussen,2
Ehingen (Donau),28
Munderkingen,2
Rottenacker,2
Untermarchtal,2
Lauterach,0
Illerrieden,2
Schnürpflingen,0
Griesingen,2
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,87
