,12_05_2021
Westerheim,1
Schelklingen,2
Laichingen,5
Heroldstatt,0
Allmendingen,1
Blaubeuren,6
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,2
Blaustein,15
Dornstadt,2
Amstetten,2
Lonsee,2
Westerstetten,1
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,1
Langenau,6
Neenstetten,1
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,1
Balzheim,2
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,10
Hausen am Bussen,0
Ehingen,12
Munderkingen,0
Rottenacker,5
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,1
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,49
