,11_07_2021
Westerheim,0
Schelklingen,1
Laichingen,0
Heroldstatt,0
Allmendingen,2
Blaubeuren,6
Merklingen,0
Berghülen,3
Nellingen,0
Altheim,0
Öpfingen,2
Oberdischingen,0
Erbach,10
Blaustein,3
Dornstadt,3
Amstetten,0
Lonsee,1
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,1
Illerkirchberg,1
Bernstadt,1
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,2
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,4
Hausen am Bussen,0
Ehingen (Donau),27
Munderkingen,0
Rottenacker,1
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,29
