,05_07_2021
Westerheim,0
Schelklingen,1
Laichingen,8
Heroldstatt,2
Allmendingen,1
Blaubeuren,19
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,3
Oberdischingen,0
Erbach,1
Blaustein,4
Dornstadt,1
Amstetten,6
Lonsee,5
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,1
Langenau,6
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,1
Dietenheim,3
Hausen am Bussen,1
Ehingen (Donau),4
Munderkingen,2
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,49
