,08_24_2021
Westerheim,0
Schelklingen,0
Laichingen,1
Heroldstatt,0
Allmendingen,0
Blaubeuren,1
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,0
Oberdischingen,2
Erbach,7
Blaustein,4
Dornstadt,2
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,1
Staig,2
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,2
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,2
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,1
Ehingen (Donau),11
Munderkingen,3
Rottenacker,0
Untermarchtal,2
Lauterach,1
Illerrieden,1
Schnürpflingen,0
Griesingen,2
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,37
