,12_24_2021
Westerheim,3
Schelklingen,0
Laichingen,4
Heroldstatt,1
Allmendingen,0
Blaubeuren,4
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,1
Erbach,1
Blaustein,5
Dornstadt,0
Amstetten,3
Lonsee,2
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,1
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,1
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen,5
Munderkingen,0
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,39
