,12_21_2021
Westerheim,2
Schelklingen,5
Laichingen,11
Heroldstatt,0
Allmendingen,3
Blaubeuren,6
Merklingen,0
Berghülen,1
Nellingen,0
Altheim,1
Öpfingen,2
Oberdischingen,0
Erbach,4
Blaustein,7
Dornstadt,0
Amstetten,9
Lonsee,0
Westerstetten,0
Beimerstetten,2
Weidenstetten,1
Staig,0
Altheim (Alb),0
Holzkirch,1
Breitingen,0
Illerkirchberg,1
Bernstadt,2
Langenau,4
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen,15
Munderkingen,2
Rottenacker,3
Untermarchtal,0
Lauterach,0
Illerrieden,14
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,92
