,11_08_2021
Westerheim,0
Schelklingen,1
Laichingen,1
Heroldstatt,0
Allmendingen,0
Blaubeuren,5
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,0
Oberdischingen,0
Erbach,2
Blaustein,3
Dornstadt,2
Amstetten,0
Lonsee,1
Westerstetten,0
Beimerstetten,0
Weidenstetten,1
Staig,3
Altheim (Alb),3
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,4
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,2
Hausen am Bussen,1
Ehingen (Donau),5
Munderkingen,0
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,16
