,01_16_2022
Westerheim,0
Schelklingen,2
Laichingen,2
Heroldstatt,1
Allmendingen,1
Blaubeuren,1
Merklingen,0
Berghülen,1
Nellingen,1
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,6
Blaustein,2
Dornstadt,0
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,3
Neenstetten,0
Börslingen,0
Ballendorf,2
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,3
Emerkingen,2
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen,6
Munderkingen,4
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,53
